#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
2880	COEFLA01	 	Haemoproteus	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	Unknown	Unknown	Wild	South America	Peru	 	Community_14	-05°53.60580', -079°47.24340'	1	2	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2881	COEFLA01	 	Haemoproteus	Passeriformes	Thamnophilidae	Thamnophilus	Thamnophilus bernardi	 	Unknown	Unknown	Wild	South America	Peru	 	Community_17	-08°23.21100', -078°38.71079'	1	5	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2882	COEFLA01	 	Haemoproteus	Passeriformes	Fringillidae	Volatinia	Volatinia jacarina	 	Unknown	Unknown	Wild	South America	Peru	 	Community_17	-08°23.21100', -078°38.71079'	1	6	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2883	COEIRI01	 	Leucocytozoon	Trochiliformes	Trochilidae	Coeligena	Coeligena iris	 	Unknown	Unknown	Wild	South America	Peru	 	Community_6	-07°23.88199', -078°46.69600'	1	7	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2884	COETOR01	 	Plasmodium	Trochiliformes	Trochilidae	Coeligena	Coeligena torquata	 	Unknown	Unknown	Wild	South America	Peru	 	Community_5	-06°40.99800', -077°40.99800'	1	14	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2885	COETOR01	 	Plasmodium	Trochiliformes	Trochilidae	Phaethornis	Phaethornis ruber	 	Unknown	Unknown	Wild	South America	Peru	 	Community_11	-06°38.80000', -076°04.95150'	1	1	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2886	COETOR02	 	Leucocytozoon	Trochiliformes	Trochilidae	Coeligena	Coeligena torquata	 	Unknown	Unknown	Wild	South America	Peru	 	Community_9	-12°37.28500', -072°14.52599'	1	1	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2887	COETOR03	 	Plasmodium	Trochiliformes	Trochilidae	Coeligena	Coeligena torquata	 	Unknown	Unknown	Wild	South America	Peru	 	Community_4	-06°06.40999', -078°20.49499'	1	5	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2888	COETOR04	 	Haemoproteus	Trochiliformes	Trochilidae	Coeligena	Coeligena torquata	 	Unknown	Unknown	Wild	South America	Peru	 	Community_5	-06°40.99800', -077°40.99800'	1	14	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2889	COETOR05	 	Haemoproteus	Trochiliformes	Trochilidae	Coeligena	Coeligena torquata	 	Unknown	Unknown	Wild	South America	Peru	 	Community_2	-09°43.64999', -076°06.36050'	1	5	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2890	COETOR06	 	Haemoproteus	Trochiliformes	Trochilidae	Coeligena	Coeligena torquata	 	Unknown	Unknown	Wild	South America	Peru	 	Community_2	-09°43.64999', -076°06.36050'	1	6	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2891	COETOR07	 	Haemoproteus	Trochiliformes	Trochilidae	Coeligena	Coeligena torquata	 	Unknown	Unknown	Wild	South America	Peru	 	Community_2	-09°43.64999', -076°06.36050'	1	6	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2892	COEVIO01	 	Haemoproteus	Trochiliformes	Trochilidae	Coeligena	Coeligena violifer	 	Unknown	Unknown	Wild	South America	Peru	 	Community_9	-12°37.28500', -072°14.52599'	1	13	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2893	COEVIO02	 	Leucocytozoon	Trochiliformes	Trochilidae	Coeligena	Coeligena violifer	 	Unknown	Unknown	Wild	South America	Peru	 	Community_2	-09°43.64999', -076°06.36050'	1	14	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2894	COEVIO03	 	Leucocytozoon	Trochiliformes	Trochilidae	Coeligena	Coeligena violifer	 	Unknown	Unknown	Wild	South America	Peru	 	Community_9	-12°37.28500', -072°14.52599'	1	13	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2895	COEVIO03	 	Leucocytozoon	Piciformes	Picidae	Veniliornis	Veniliornis nigriceps	 	Unknown	Unknown	Wild	South America	Peru	 	Community_9	-12°37.28500', -072°14.52599'	1	2	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
